"id","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","ALIAS","DESCRIPTION","NAME","parentbusinesssubmoduleid"
75,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_PATHLIST","Update Pathlist","Update Pathlist",2
76,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_PATHLIST","View Pathlist","View Pathlist",2
77,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_PARSER","view parser","View Parser",2
78,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_PARSER","create parser","Creat Parser",2
79,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_PARSER","update parser","Update Parser",2
80,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_PARSER","delete parser","Delete Parser",2
81,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_EMS","View EMS","View EMS",12
82,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_COMPOSER","View Composer","View Composer",2
83,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_COMPOSER","Create Composer","Create Composer",2
84,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_COMPOSER","Update Composer","Update Composer",2
85,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_COMPOSER","Delete Composer","Delete Composer",2
86,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","ADD_SNMP_SERVER","Add SNMP Server","Add SNMP Server",13
87,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","EDIT_SNMP_SERVER","Edit SNMP Server","Edit SNMP Server",13
88,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_SNMP_SERVER","Delete SNMP Server","Delete SNMP Server",13
89,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","ADD_SNMP_CLIENT","Add SNMP Client","Add SNMP Client",14
90,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","EDIT_SNMP_CLIENT","Edit SNMP Client","Edit SNMP Client",14
91,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_SNMP_CLIENT","Delete SNMP Client","Delete SNMP Client",14
92,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","EDIT_ALERT_DETAILS","Edit Alert Details","Edit Alert Details",15
93,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","ADD_SERVICE_THRESHOLD","Add Service Threshold","Add Service Threshold",15
94,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","VIEW_PRODUCT_CONFIGURATION","View Product Configuration","View Product Configuration",16
95,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","UPDATE_PRODUCT_CONFIGURATION","Update Product Configuration","Update Product Configuration",16
96,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","APPLY_FULL_LICENSE","Apply/Renew Full License","Apply/Renew Full License",17
97,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","VIEW_PROFILE_CONFIGURATION","View Profile Configuration","View Profile Configuration",18
98,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","UPDATE_PROFILE_CONFIGURATION","Update Profile Configuration","Update Profile Configuration",18
99,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_PACKET_STATASTIC_AGENT","View Packet Statistic Agent","View Packet Statistic Agent",19
100,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","EDIT_PACKET_STATASTIC_AGENT","Update Packet Statistic Agent","Update Packet Statistic Agent",19
101,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_PROFILE","Update Profile","Update Profile",20
102,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_DATASOURCE","View DataSource","View DataSource",21
103,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","ADD_DATASOURCE","Add DataSource","Add DataSource",21
104,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","EDIT_DATASOURCE","Edit DataSource","Edit DataSource",21
105,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_DATASOURCE","Delete DataSource","Delete DataSource",21
106,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_POLICY_CONFIGURATION","View Policy Configuration","View Policy Configuration",9
107,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_POLICY_ACTION_CONFIGURATION","Add Policy Action Configuration","Add Policy Action Configuration",9
108,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_POLICY_CONDITION_CONFIGURATION","Add Policy Condition Configuration","Add Policy Condition Configuration",9
109,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_POLICY_CONFIGURATION","Add Policy Configuration","Add Policy Configuration",9
110,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_POLICY_GROUP_CONFIGURATION","Add Policy Group Configuration","Add Policy Group Configuration",9
111,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_POLICY_RULE_CONFIGURATION","Add Policy Rule Configuration","Add Policy Rule Configuration",9
112,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_POLICY_ACTION_CONFIGURATION","Delete Policy Action Configuration","Delete Policy Action Configuration",9
113,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_POLICY_CONDITION_CONFIGURATION","Delete Policy Condition Configuration","Delete Policy Condition Configuration",9
114,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_POLICY_CONFIGURATION","Delete Policy Configuration","Delete Policy Configuration",9
115,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_POLICY_GROUP_CONFIGURATION","Delete Policy Group Configuration","Delete Policy Group Configuration",9
116,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_POLICY_RULE_CONFIGURATION","Delete Policy Rule Configuration","Delete Policy Rule Configuration",9
117,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_POLICY_ACTION_CONFIGURATION","Update Policy Action Configuration","Update Policy Action Configuration",9
118,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_POLICY_CONDITION_CONFIGURATION","Update Policy Condition Configuration","Update Policy Condition Configuration",9
119,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_POLICY_CONFIGURATION","Update Policy Configuration","Update Policy Configuration",9
120,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_POLICY_GROUP_CONFIGURATION","Update Policy Group Configuration","Update Policy Group Configuration",9
121,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_POLICY_RULE_CONFIGURATION","Update Policy Rule Configuration","Update Policy Rule Configuration",9
