ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,DESCRIPTION,ENTITY,REGEXKEY,VALUE
173,1,2016-07-11 16:21:09.0172,1,2016-07-11 16:21:09.0172,ACTIVE,CharRenameOperation Length,CharRenameOperation,CharRenameOperation.length,"^-?[0-9-][0-9]{0,3}$"
174,1,2016-07-11 16:21:09.0173,1,2016-07-11 16:21:09.0173,ACTIVE,ComposerMapping Name,ComposerMapping,ComposerMapping.name,"^[\w-._,][\w\s-._,]{1,200}+$"
175,1,2016-07-11 16:21:09.0174,1,2016-07-11 16:21:09.0174,ACTIVE,Ascii Field Separator,AsciiComposerMapping,AsciiComposerMapping.fieldSeparator,^[^\w]{1}$
176,1,2016-07-11 16:21:09.0175,1,2016-07-11 16:21:09.0175,ACTIVE,ComposerMapping Source Date Format,ComposerMapping,ComposerMapping.destDateFormat,"^[\sdMyYhmsHAaCcDdEeNnOoSTtUuWw0-9&+/:-]+{1,100}"
177,1,2016-07-11 16:21:09.0176,1,2016-07-11 16:21:09.0176,ACTIVE,ComposerMapping File Extension,ComposerMapping,ComposerMapping.destFileExt,"^[^<>:/\\|?*]{0,15}$"
178,1,2016-07-11 16:21:09.0177,1,2016-07-11 16:21:09.0177,ACTIVE,ComposerAttr DestionationField,ComposerAttribute,ComposerAttribute.destinationField,"^[a-zA-Z0-9!@#$%^&*()_+\-=\[\]{};':]{1,100}$"
179,1,2016-07-11 16:21:09.0178,1,2016-07-11 16:21:09.0178,ACTIVE,ComposerAttr DefaultValue,ComposerAttribute,ComposerAttribute.defualtValue,"^.{0,100}$"
180,1,2016-07-11 16:21:09.0179,1,2016-07-11 16:21:09.0179,ACTIVE,ComposerAttr Description,ComposerAttribute,ComposerAttribute.description,"^[\w\s-./,/']{0,2000}$"
181,1,2016-07-11 16:21:09.0180,1,2016-07-11 16:21:09.0180,ACTIVE,ComposerAttr TrimChars,ComposerAttribute,ComposerAttribute.trimchars,"^[\w\s~@!#\$\^%&*()+=\-\[\]\\\';,\.\/\{\}\|\"":<>\? ]{0,100}$"
182,1,2016-07-11 16:21:09.0181,1,2016-07-11 16:21:09.0181,ACTIVE,ComposerAttr DateFormat,ComposerAttribute,ComposerAttribute.dateFormat,"^[\sdMyYhmsHAaCcDdEeNnOoSTtUuWw0-9&/:-]{0,100}"
