"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","CREATEDDATE","STATUS","ENTITYTYPE","MAXRANGE","MINRANGE","ENTITYREGEXID","ADDITIONALCHECKVAL"
70,1,"2016-07-11 16:21:09.0061",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0061","ACTIVE","com.elitecore.sm.services.model.DistributionService",500000,1,150,
71,1,"2016-07-11 16:21:09.0062",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0062","ACTIVE","com.elitecore.sm.services.model.DistributionService",500000,1,152,-1
72,1,"2016-07-11 16:21:09.0063",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0063","ACTIVE","com.elitecore.sm.drivers.model.Drivers",10000000,1000,57,
73,1,"2016-07-11 16:21:09.0064",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0064","ACTIVE","com.elitecore.sm.drivers.model.ConnectionParameter",600000,1000,66,
74,1,"2016-07-11 16:21:09.0065",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0065","ACTIVE","com.elitecore.sm.drivers.model.ConnectionParameter",65000,0,63,
75,1,"2016-07-11 16:21:09.0066",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0066","ACTIVE","com.elitecore.sm.drivers.model.Drivers",3600,0,61,-1
76,1,"2016-07-11 16:21:09.0067",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0067","ACTIVE","com.elitecore.sm.drivers.model.Drivers",-5,1,58,-1
77,1,"2016-07-11 16:21:09.0068",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0068","ACTIVE","com.elitecore.sm.drivers.model.Drivers",5000,-5,59,-1
78,1,"2016-07-11 16:21:09.0069",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0069","ACTIVE","com.elitecore.sm.drivers.model.Drivers",100,0,60,-1
79,1,"2016-07-11 16:21:09.0070",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0070","ACTIVE","com.elitecore.sm.drivers.model.Drivers",60,1,68,
80,1,"2016-07-11 16:21:09.0071",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0071","ACTIVE","com.elitecore.sm.pathlist.model.CharRenameOperation",255,1,173,-1
81,1,"2016-07-11 16:21:09.0072",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0072","ACTIVE","com.elitecore.sm.netflowclient.model.NetflowClient",10240,500,104,-1
82,1,"2016-07-11 16:21:09.0073",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0073","ACTIVE","com.elitecore.sm.netflowclient.model.NetflowClient",10,1,105,-1
83,1,"2016-07-11 16:21:09.0074",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0074","ACTIVE","com.elitecore.sm.netflowclient.model.NetflowClient",64000,3000,99,
84,1,"2016-07-11 16:21:09.0075",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0075","ACTIVE","com.elitecore.sm.netflowclient.model.NetflowClient",60,0,190,
85,1,"2016-07-11 16:21:09.0076",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0076","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",50,0,37,
86,1,"2016-07-11 16:21:09.0077",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0077","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",1440,0,38,
87,1,"2016-07-11 16:21:09.0078",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0078","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",100,0,34,
88,1,"2016-07-11 16:21:09.0079",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0079","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",1440,0,33,
89,1,"2016-07-11 16:21:09.0080",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0080","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",99,0,35,
90,1,"2016-07-11 16:21:09.0081",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0081","ACTIVE","com.elitecore.sm.pathlist.model.DistributionDriverPathList",10000,1,76,-1
91,1,"2016-07-11 16:21:09.0082",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0082","ACTIVE","com.elitecore.sm.pathlist.model.CollectionDriverPathList",10000,-1,76,
92,1,"2016-07-11 16:21:09.0083",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0083","ACTIVE","com.elitecore.sm.parser.model.AsciiParserMapping",10000,-5,158,
93,1,"2016-07-11 16:21:09.0084",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0084","ACTIVE","com.elitecore.sm.services.model.ParsingService",5000,1,195,-1
94,1,"2016-07-11 16:21:09.0085",1,"2016-07-12 10:17:13.0001","2016-07-11 16:21:09.0085","ACTIVE","com.elitecore.sm.datasource.model.DataSourceConfig",100,1,46,
95,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.datasource.model.DataSourceConfig",100,1,47,
96,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",120,15,28,
97,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",-5,8,31,
98,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",-5,8,32,
99,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",5,1,26,
100,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",60000,5000,27,
101,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",100,10,34,
102,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",1440,1,33,
103,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",99,1,35,
104,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","TIME_BASED",1440,1,38,
105,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","VOLUME_BASED",1024,1,38,
106,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.serverinstance.model.ServerInstance",50,5,37,
107,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.snmp.model.SNMPServerConfig",40000,-5,149,-1
108,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.agent.model.PacketStatisticsAgent",8640000,60000,199,
109,1,"2016-07-11 16:21:09.0086",1,"2016-07-12 10:17:13.0002","2016-07-11 16:21:09.0086","ACTIVE","com.elitecore.sm.parser.model.Parser",50000,0,201,-1
110,1,"2016-07-11 16:21:09.0035",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0035","ACTIVE","com.elitecore.sm.services.model.NetflowBinaryCollectionService",2147483647,1,94,
111,1,"2016-07-11 16:21:09.0035",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0035","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",2147483647,1,94,
112,1,"2016-07-11 16:21:09.0035",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0035","ACTIVE","com.elitecore.sm.services.model.SysLogCollectionService",-5,1,94,
113,1,"2016-07-11 16:21:09.0017",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0017","ACTIVE","com.elitecore.sm.services.model.ProcessingService",300000,1,110,-1
114,1,"2016-07-11 16:21:09.0018",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0018","ACTIVE","com.elitecore.sm.services.model.ProcessingService",100,1,54,
115,1,"2016-07-11 16:21:09.0019",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0019","ACTIVE","com.elitecore.sm.services.model.ProcessingService",100,1,53,
116,1,"2016-07-11 16:21:09.0020",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0020","ACTIVE","com.elitecore.sm.services.model.ProcessingService",500,1,52,
117,1,"2016-07-11 16:21:09.0021",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0021","ACTIVE","com.elitecore.sm.services.model.ProcessingService",150000,1,55,
