ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,ENTITYALIAS,ENTITYTYPE,ISDEFAULT,SERVERTYPEID
61,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,LOCAL_COLLECTION_DRIVER,DRIVER_TYPE,Y,2
62,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DATABASE_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,2
63,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,DELETED,HADOOP_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,2
64,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,FTP_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,2
65,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,SFTP_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,2
66,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,LOCAL_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,2
67,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,ASCII_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,2
68,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,ASN1_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,2
69,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DEFAULT_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,2
70,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DETAIL_LOCAL_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,2
71,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,FIXED_LENGTH_ASCII_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,2
72,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,XML_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,2
