"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","APPLICABILITY","DATATYPE","DATATYPESEMANTICS","ELEMENTID","FIELDSTATUS","ATTRGROUP","NAME"
22,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned64","totalCounter","41","current","processCounter","exportedMessageTotalCount"
23,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned64","totalCounter","40","current","processCounter","exportedOctetTotalCount"
24,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned64","totalCounter","42","current","processCounter","exportedFlowRecordTotalCount"
25,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned64","totalCounter","163","current","processCounter","observedFlowTotalCount"
26,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned64","totalCounter","164","current","processCounter","ignoredPacketTotalCount"
27,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned64","totalCounter","165","current","processCounter","ignoredOctetTotalCount"
28,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned64","totalCounter","166","current","processCounter","notSentFlowTotalCount"
29,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned64","totalCounter","167","current","processCounter","notSentPacketTotalCount"
30,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned64","totalCounter","168","current","processCounter","notSentOctetTotalCount"
31,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","60","current","ipHeader","ipVersion"
32,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","ipv4Address","identifier","8","current","ipHeader","sourceIPv4Address"
33,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","ipv6Address","identifier","27","current","ipHeader","sourceIPv6Address"
